run,score,time,step
4,2096,42171.6,2684
4,2087,43249.4,2752
4,2102,44453.4,2828
4,2095,45562.2,2898
4,2096,46562.8,2962
4,2098,47500.4,3022
4,2115,48805.1,3107
4,2098,49890.4,3177
4,2102,51008.5,3249
4,2106,52234.9,3327
4,2101,53374.5,3400
4,2096,54453.6,3469
4,2097,55624.6,3544
4,2086,56625.6,3607
4,2096,57641.2,3672
4,2099,58652.9,3738
4,2095,59750.1,3809
4,2113,60922.4,3884
4,2096,61860,3943
4,2083,62828.7,4005
4,2104,64000.6,4079
4,2099,65000.6,4143
4,2076,66016.4,4207
4,2104,67234.3,4285
4,2103,68470.4,4365
4,2097,69545.9,4435
4,2096,70531.8,4498
4,2107,71717.9,4574
4,2101,72734.3,4640
4,2096,73858.3,4712
4,2098,74859,4777
4,2109,75921.8,4845
4,2072,76844.4,4904
4,2097,77891,4971
4,2093,78953.3,5039
4,2102,79984.1,5104
4,2108,81171.9,5180
4,2095,82156.2,5243
4,2105,83234.6,5312
4,2100,84327.5,5382
4,2100,85250.2,5441
4,2103,86219,5502
4,2089,87281.2,5568
4,2085,88270.1,5631
4,2083,89374.8,5699
4,2100,90546.5,5774
4,2091,91562.7,5839
4,2108,92638.9,5908
4,2086,93750,5979
4,2105,94812.7,6047
4,2082,95812.5,6111
4,2093,96828.7,6175
4,2082,97814.8,6238
4,2084,98652.1,6293
4,2080,99672.2,6357
4,2087,100594,6416
4,2089,101594,6479
4,2074,102656,6546
4,2084,103794,6618
4,2075,104797,6680
4,2108,105907,6750
4,2092,106922,6814
4,2108,108235,6898
4,2085,109276,6965
4,2080,110156,7021
4,2095,111187,7087
4,2080,112133,7148
4,2087,113145,7214
4,2092,114246,7285
4,2096,115354,7356
4,2113,116500,7429
4,2095,117734,7508
4,2099,118766,7574
4,2102,119937,7649
4,2090,120964,7715
4,2103,122094,7787
4,2099,123109,7852
4,2108,124281,7927
4,2091,125469,8004
4,2101,126609,8077
4,2094,127691,8145
4,2084,128634,8203
4,2096,129690,8267
4,2082,130898,8345
4,2098,131871,8407
4,2094,143787,8478
4,2087,144839,8546
4,2084,145923,8616
4,2115,147148,8696
4,2108,148198,8764
4,2087,149387,8840
5,2072,818.45,53
5,2088,1823.7,118
5,2094,2992.78,194
5,2082,3826.13,248
5,2101,4949.43,321
5,2080,5890.53,382
5,2125,7167.83,465
5,2099,8168.44,530
5,2107,9245.75,600
5,2075,10177.3,661
5,2098,11281.4,733
5,2082,12223.9,794
5,2101,13277.1,862
5,2097,14255.7,926
5,2103,15224.3,988
5,2086,16109.5,1045
5,2104,17030.9,1104
5,2106,18076,1172
5,2104,19088.8,1238
5,2091,20087.7,1303
5,2102,21169.5,1373
5,2108,22416.9,1454
5,2093,23458.1,1521
5,2103,24566.7,1594
5,2101,25621.4,1662
5,2102,26726.3,1734
5,2093,27754.7,1801
5,2106,29078.9,1886
5,2082,29997.4,1946
5,2092,31180.8,2023
5,2088,32179.8,2088
5,2087,33234.2,2156
5,2086,34216.1,2220
5,2098,35416.2,2298
5,2075,36456,2366
5,2096,37506.7,2434
5,2091,38531.3,2501
5,2095,39534.8,2566
5,2109,40556,2632
5,2091,41807.6,2711
5,2089,42772.9,2774
5,2106,43829.4,2842
5,2091,44992.7,2917
5,2102,46099,2989
5,2087,47051.1,3051
5,2082,48025.6,3114
5,2090,49071.7,3182
5,2091,50106.7,3249
5,2108,51298,3326
5,2097,52468.3,3402
5,2086,53484.7,3468
5,2084,54448.2,3531
5,2100,55512.6,3599
5,2097,56429.4,3659
5,2098,57459.6,3726
5,2095,58549.3,3797
5,2107,59673.7,3869
5,2100,60843.9,3946
5,2100,61922.3,4016
5,2087,62836.3,4075
5,2090,63732.2,4133
5,2096,64848.3,4206
5,2065,65663.5,4259
5,2130,67073,4351
5,2098,68148.3,4421
5,2084,69161,4486
5,2108,70342.1,4563
5,2080,71361.9,4629
5,2102,72501.4,4704
