run,score,time,iteration,step
3,1998,346.886,1,21
3,2001,351.98,1,22
3,2004,358.198,1,23
3,2008,363.836,1,24
3,2011,367.731,1,25
3,2014,372.589,1,26
3,2017,377.241,1,27
3,2020,380.868,1,28
3,2023,384.305,1,29
3,2027,387.722,1,30
3,2030,391.192,1,31
3,2033,395.429,1,32
3,2036,398.909,1,33
3,2039,402.322,1,34
3,2042,405.746,1,35
3,2045,409.273,1,36
3,2049,412.275,1,37
3,2051,415.595,1,38
3,2053,418.753,1,39
3,2057,422.184,1,40
3,2061,425.942,1,41
3,2064,429.23,1,42
3,2066,432.895,1,43
3,2068,436.178,1,44
3,2070,439.87,1,45
3,2072,443.318,1,46
3,2073,446.554,1,47
3,2074,450.108,1,48
3,2076,453.433,1,49
3,2077,456.733,1,50
3,2080,460.047,1,51
3,2083,464.338,1,52
3,2085,468.239,1,53
3,2086,471.879,1,54
3,2087,475.583,1,55
3,2088,479.589,1,56
3,2090,482.758,1,57
3,2091,486.325,1,58
3,2092,490.117,1,59
3,2094,494.004,1,60
3,2095,497.94,1,61
3,2096,501.198,1,62
3,2097,506.024,1,63
3,2098,509.961,1,64
3,2099,513.788,1,65
3,2102,518.226,1,66
3,2103,521.795,1,67
3,2105,525.448,1,68
3,2106,528.732,1,69
3,2107,532.21,1,70
3,2108,536.348,1,71
3,2109,540.111,1,72
3,2110,543.955,1,73
3,2111,547.404,1,74
3,2112,553.805,1,75
3,2113,619.801,1,77
3,2114,623.079,1,78
3,2115,686.622,1,80
3,2116,750.257,1,82
3,2117,811.959,1,84
3,2119,2054.33,3,248
3,2120,2919.98,5,410
3,2121,2981.29,5,412
3,2122,3043.12,5,414
3,2123,3109.93,5,416
3,2124,3174.43,5,418
3,2125,15989.5,24,2072
3,2126,15995.9,24,2073
3,2129,15998.7,24,2074
3,2130,16001.9,24,2075
3,2131,16005.1,24,2076
3,2132,16008.7,24,2077
3,2133,16015.8,24,2078
3,2134,16019.3,24,2079
3,2136,16022.5,24,2080
4,1877,3.20503,1,1
4,1886,5.87714,1,2
4,1894,8.29345,1,3
4,1901,10.7828,1,4
4,1908,13.102,1,5
4,1914,15.3257,1,6
4,1920,17.5588,1,7
4,1926,19.8105,1,8
4,1931,22.0985,1,9
4,1936,24.3549,1,10
4,1941,26.6469,1,11
4,1946,28.9092,1,12
4,1951,31.1369,1,13
4,1956,33.3783,1,14
4,1961,35.6027,1,15
4,1965,37.8193,1,16
4,1969,40.0363,1,17
4,1973,42.2761,1,18
4,1977,44.5073,1,19
4,1981,46.7301,1,20
4,1985,48.9416,1,21
4,1989,51.155,1,22
4,1993,53.3889,1,23
4,1996,55.6067,1,24
4,1999,57.8682,1,25
4,2002,60.1171,1,26
4,2005,62.3104,1,27
4,2008,64.525,1,28
4,2010,66.7329,1,29
4,2012,68.9451,1,30
4,2014,71.1921,1,31
4,2016,73.4805,1,32
4,2018,75.7389,1,33
4,2022,77.9827,1,34
4,2025,80.2198,1,35
4,2027,82.4478,1,36
4,2029,84.6762,1,37
4,2031,86.9302,1,38
4,2033,89.2147,1,39
4,2036,91.4711,1,40
4,2038,93.7086,1,41
4,2040,95.9579,1,42
4,2042,98.1804,1,43
4,2044,100.415,1,44
4,2046,102.705,1,45
4,2048,105.067,1,46
4,2050,107.334,1,47
4,2052,109.577,1,48
4,2053,111.804,1,49
4,2054,114.042,1,50
4,2057,116.266,1,51
4,2058,118.489,1,52
4,2061,120.976,1,53
4,2063,123.23,1,54
4,2065,125.449,1,55
4,2066,127.667,1,56
4,2067,129.884,1,57
4,2069,132.099,1,58
4,2070,134.401,1,59
4,2071,136.754,1,60
4,2072,138.988,1,61
4,2073,141.208,1,62
4,2075,143.42,1,63
4,2076,145.633,1,64
4,2079,147.838,1,65
4,2080,150.112,1,66
4,2081,152.531,1,67
4,2082,154.738,1,68
4,2084,217.572,1,70
4,2085,220.269,1,71
4,2087,222.805,1,72
4,2088,225.28,1,73
4,2090,227.709,1,74
4,2091,288.389,1,76
4,2092,352.103,1,78
4,2093,414.899,1,80
4,2094,417.269,1,81
4,2096,651.313,2,152
4,2098,714.553,2,154
4,2099,717.224,2,155
4,2100,781.885,2,157
4,2101,784.368,2,158
4,2102,786.719,2,159
4,2104,790.401,2,160
4,2105,793.823,2,161
4,2106,797.601,2,162
4,2107,864.133,2,164
4,2108,866.708,2,165
4,2109,928.583,2,167
4,2110,930.963,2,168
4,2111,933.505,2,169
4,2112,997.23,2,171
4,2113,1905,4,326
4,2114,1909.12,4,327
4,2115,1911.78,4,328
4,2116,1974.55,4,330
4,2118,1976.88,4,331
4,2119,3707.18,8,667
4,2121,3709.44,8,668
4,2122,3711.65,8,669
4,2123,3714.2,8,670
4,2124,3777.03,8,672
4,2126,3840.67,8,674
4,2127,3844.17,8,675
4,2128,3906.72,8,677
4,2129,11098.9,20,1715
4,2130,11161.8,20,1717
4,2131,11223.5,20,1719
4,2132,44483.1,72,6293
4,2133,74392.5,120,10448
4,2135,74457.5,120,10450
4,2136,74523,120,10452
4,2137,74588.7,120,10454
4,2138,131392,215,18768
5,1897,3.72019,1,1
5,1905,6.7389,1,2
5,1912,9.90366,1,3
5,1919,12.7751,1,4
5,1926,15.5704,1,5
5,1932,18.2725,1,6
5,1937,20.9079,1,7
5,1943,23.4754,1,8
5,1948,25.9758,1,9
5,1954,28.4351,1,10
5,1959,30.8743,1,11
5,1964,33.2981,1,12
5,1969,35.6998,1,13
5,1974,38.1663,1,14
5,1979,40.6987,1,15
5,1983,43.1146,1,16
5,1987,45.5151,1,17
5,1991,47.9081,1,18
5,1995,50.2699,1,19
5,1999,52.6255,1,20
5,2003,55.0603,1,21
5,2007,57.3906,1,22
5,2011,59.6742,1,23
5,2014,61.9441,1,24
5,2017,64.2179,1,25
5,2020,66.4917,1,26
5,2023,68.7706,1,27
5,2026,71.0819,1,28
5,2029,73.3845,1,29
5,2032,75.6532,1,30
5,2035,77.9227,1,31
5,2038,80.1913,1,32
5,2040,82.4766,1,33
5,2042,84.7512,1,34
5,2044,87.1833,1,35
5,2046,89.4922,1,36
5,2048,91.7992,1,37
5,2050,94.208,1,38
5,2052,96.6594,1,39
5,2055,99.1081,1,40
5,2057,101.588,1,41
5,2059,104.086,1,42
5,2060,106.535,1,43
5,2061,108.964,1,44
5,2062,111.389,1,45
5,2063,113.81,1,46
5,2064,116.209,1,47
5,2066,118.801,1,48
5,2067,121.214,1,49
5,2068,123.591,1,50
5,2069,125.955,1,51
5,2070,128.308,1,52
5,2071,130.649,1,53
5,2072,133.007,1,54
5,2074,135.367,1,55
5,2076,137.704,1,56
5,2077,140.036,1,57
5,2078,142.529,1,58
5,2079,144.897,1,59
5,2081,210.246,1,61
5,2082,213.13,1,62
5,2084,277.909,1,64
5,2086,280.568,1,65
5,2087,283.127,1,66
5,2089,285.46,1,67
5,2091,287.761,1,68
5,2092,290.085,1,69
5,2094,353.791,1,71
5,2096,420.751,1,73
5,2097,485.154,1,75
5,2099,487.571,1,76
5,2101,550.918,1,78
5,2102,615.061,1,80
5,2103,680.144,1,82
5,2104,745.793,1,84
5,2105,812.138,1,86
5,2106,815.067,1,87
5,2107,880.793,1,89
5,2108,944.561,1,91
5,2109,947.112,1,92
5,2110,949.538,1,93
5,2111,951.938,1,94
5,2113,954.305,1,95
5,2115,956.664,1,96
5,2117,1022.24,1,98
5,2118,1804.89,3,270
5,2119,1807.46,3,271
5,2120,1809.85,3,272
5,2122,5191.41,9,771
5,2123,5193.88,9,772
5,2124,5258.6,9,774
5,2125,5261.53,9,775
5,2126,6876.86,12,1022
5,2127,6879.5,12,1023
5,2128,6881.85,12,1024
5,2130,6947.39,12,1026
5,2131,6949.79,12,1027
5,2132,7014.72,12,1029
5,2133,7017.18,12,1030
5,2134,7019.5,12,1031
5,2135,7752.87,13,1132
5,2136,7816.62,13,1134
5,2138,7819.06,13,1135
5,2139,7882.67,13,1137
6,1890,3.43596,1,1
6,1897,6.20637,1,2
6,1904,8.76321,1,3
6,1910,11.3429,1,4
6,1916,13.7885,1,5
6,1923,16.17,1,6
6,1929,18.5753,1,7
6,1935,21.2257,1,8
6,1940,23.6538,1,9
6,1946,26.0524,1,10
6,1951,28.4612,1,11
6,1956,30.8439,1,12
6,1962,33.22,1,13
6,1967,35.6462,1,14
6,1972,38.0546,1,15
6,1976,40.4235,1,16
6,1980,42.7889,1,17
6,1985,45.1819,1,18
6,1989,47.5595,1,19
6,1994,49.9297,1,20
6,1999,52.4375,1,21
6,2004,54.7974,1,22
6,2010,57.1419,1,23
6,2014,59.4753,1,24
6,2020,61.8221,1,25
6,2024,64.1666,1,26
6,2028,66.8935,1,27
6,2032,73.7532,1,28
6,2036,76.875,1,29
6,2039,79.542,1,30
6,2042,82.2575,1,31
6,2045,86.1944,1,32
6,2048,90.016,1,33
6,2051,92.9534,1,34
6,2054,95.6022,1,35
6,2056,98.0967,1,36
6,2058,100.55,1,37
6,2060,102.935,1,38
6,2062,105.305,1,39
6,2064,107.673,1,40
6,2067,110.104,1,41
6,2069,112.602,1,42
6,2071,115.107,1,43
6,2073,117.514,1,44
6,2075,119.899,1,45
6,2077,122.285,1,46
6,2079,124.672,1,47
6,2080,127.059,1,48
6,2081,129.501,1,49
6,2082,131.912,1,50
6,2083,134.25,1,51
6,2084,136.586,1,52
6,2086,138.927,1,53
6,2087,141.267,1,54
6,2088,143.611,1,55
6,2089,146.142,1,56
6,2090,148.525,1,57
6,2091,150.889,1,58
6,2092,153.301,1,59
6,2093,155.657,1,60
6,2094,158.014,1,61
6,2095,160.406,1,62
6,2096,162.767,1,63
6,2098,165.094,1,64
6,2099,167.416,1,65
6,2100,169.752,1,66
6,2101,172.128,1,67
6,2102,174.566,1,68
6,2104,177.235,1,69
6,2105,179.941,1,70
6,2106,182.581,1,71
6,2108,185.132,1,72
6,2109,250.253,1,74
6,2110,252.721,1,75
6,2111,317.744,1,77
6,2112,384.457,1,79
6,2114,450.051,1,81
6,2115,516.319,1,83
6,2116,840.791,2,163
6,2117,843.336,2,164
6,2118,910.623,2,166
6,2120,976.402,2,168
6,2121,5964.66,10,847
6,2122,6031.41,10,849
6,2123,6095.33,10,851
6,2124,6098,10,852
6,2125,6164.6,10,854
6,2126,6231.18,10,856
6,2127,13460.6,22,1906
6,2128,13526.8,22,1908
6,2129,19021.9,29,2527
6,2130,65754.4,99,8655
6,2131,65757,99,8656
7,1888,3.3357,1,1
7,1897,6.11952,1,2
7,1905,8.83545,1,3
7,1912,11.4993,1,4
7,1918,13.9507,1,5
7,1924,16.3994,1,6
7,1930,18.8161,1,7
7,1935,21.2075,1,8
7,1940,23.5962,1,9
7,1944,26.0161,1,10
7,1950,28.4407,1,11
7,1954,31.0997,1,12
7,1958,33.7407,1,13
7,1963,36.2201,1,14
7,1967,38.6558,1,15
7,1971,41.093,1,16
7,1975,43.5208,1,17
7,1979,46.097,1,18
7,1983,48.7537,1,19
7,1987,51.2154,1,20
7,1992,53.6597,1,21
7,1996,56.0875,1,22
7,1999,58.5057,1,23
7,2002,60.9114,1,24
7,2005,63.3632,1,25
7,2009,65.7697,1,26
7,2012,68.1694,1,27
7,2015,70.5537,1,28
7,2018,72.9389,1,29
7,2021,75.3449,1,30
7,2023,78.0825,1,31
7,2025,81.6231,1,32
7,2027,84.3544,1,33
7,2029,86.7759,1,34
7,2031,89.1906,1,35
7,2033,91.6938,1,36
7,2035,95.2178,1,37
7,2036,99.1026,1,38
7,2038,102.647,1,39
7,2040,105.402,1,40
7,2043,108.107,1,41
7,2046,110.904,1,42
7,2047,113.315,1,43
7,2049,115.765,1,44
7,2050,118.184,1,45
7,2053,120.676,1,46
7,2056,123.159,1,47
7,2058,125.966,1,48
7,2060,128.488,1,49
7,2062,130.914,1,50
7,2064,133.326,1,51
7,2066,135.804,1,52
7,2068,138.26,1,53
7,2070,140.951,1,54
7,2072,143.548,1,55
7,2075,145.948,1,56
7,2078,148.33,1,57
7,2080,150.715,1,58
7,2081,153.107,1,59
7,2083,155.623,1,60
7,2084,158.26,1,61
7,2085,160.777,1,62
7,2086,163.179,1,63
7,2089,165.58,1,64
7,2090,167.974,1,65
7,2091,170.419,1,66
7,2092,173.395,1,67
7,2093,176.514,1,68
7,2094,178.978,1,69
7,2095,181.39,1,70
7,2098,183.797,1,71
7,2099,186.193,1,72
7,2101,188.787,1,73
7,2102,191.439,1,74
7,2103,193.948,1,75
7,2104,196.352,1,76
7,2105,198.737,1,77
7,2107,201.129,1,78
7,2109,203.585,1,79
7,2110,205.985,1,80
7,2111,208.569,1,81
7,2113,274.53,1,83
7,2115,340.873,1,85
7,2116,343.572,1,86
7,2117,409.8,1,88
7,2118,473.705,1,90
7,2120,537.431,1,92
7,2121,1161.03,2,190
7,2122,1228.24,2,192
7,2123,1231.1,2,193
7,2124,4000.13,7,630
7,2126,13530.6,21,1888
7,2127,33179.7,50,4491
7,2129,33182.2,50,4492
7,2130,93261.8,140,12403
7,2131,93330.9,140,12405
7,2132,109125,165,14512
8,1892,3.67321,1,1
8,1900,6.61968,1,2
8,1908,9.49706,1,3
8,1915,12.3054,1,4
8,1922,14.9609,1,5
8,1929,17.436,1,6
8,1935,19.8871,1,7
8,1941,22.3053,1,8
8,1947,24.7284,1,9
8,1953,27.1352,1,10
8,1958,29.5393,1,11
8,1963,31.9437,1,12
8,1968,34.5365,1,13
8,1974,36.9583,1,14
8,1980,39.3596,1,15
8,1985,41.7511,1,16
8,1989,44.1405,1,17
8,1993,46.5225,1,18
8,1997,49.0261,1,19
8,2001,51.4921,1,20
8,2005,53.9131,1,21
8,2010,56.3188,1,22
8,2014,58.7319,1,23
8,2017,61.1364,1,24
8,2020,63.5942,1,25
8,2023,66.0926,1,26
8,2026,68.5128,1,27
8,2029,70.9276,1,28
8,2032,73.338,1,29
8,2035,75.7523,1,30
8,2038,78.1737,1,31
8,2040,80.6094,1,32
8,2042,83.0371,1,33
8,2044,85.4534,1,34
8,2046,87.9104,1,35
8,2049,90.3804,1,36
8,2052,92.8097,1,37
8,2055,95.2738,1,38
8,2057,97.7292,1,39
8,2059,100.137,1,40
8,2061,102.546,1,41
8,2063,104.962,1,42
8,2065,107.37,1,43
8,2067,109.767,1,44
8,2068,112.204,1,45
8,2069,114.628,1,46
8,2070,117.031,1,47
8,2071,119.45,1,48
8,2073,121.858,1,49
8,2074,124.261,1,50
8,2075,127.248,1,51
8,2077,130.887,1,52
8,2078,133.539,1,53
8,2079,135.94,1,54
8,2081,138.474,1,55
8,2082,140.871,1,56
8,2083,144.249,1,57
8,2084,147.863,1,58
8,2086,151.018,1,59
8,2087,153.815,1,60
8,2088,156.386,1,61
8,2090,223.151,1,63
8,2092,288.321,1,65
8,2093,290.841,1,66
8,2095,358.443,1,68
8,2096,361.037,1,69
8,2097,428.445,1,71
8,2099,497.176,1,73
8,2100,499.765,1,74
8,2101,502.367,1,75
8,2102,568.458,1,77
8,2103,571.114,1,78
8,2104,639.243,1,80
8,2105,703.113,1,82
8,2106,705.796,1,83
8,2107,708.312,1,84
8,2109,710.758,1,85
8,2110,713.182,1,86
8,2111,715.797,1,87
8,2112,718.268,1,88
8,2113,720.739,1,89
8,2114,789.501,1,91
8,2115,855.835,1,93
8,2116,858.366,1,94
8,2117,924.001,1,96
8,2118,1652.4,2,191
8,2119,6923.11,9,801
8,2120,10097.9,14,1227
8,2122,10100.9,14,1228
8,2123,10105.2,14,1229
8,2124,10173,14,1231
8,2125,24745.3,35,3051
8,2126,24747.8,35,3052
8,2127,24750.2,35,3053
8,2128,24815.6,35,3055
8,2129,66563.8,92,7964
